ItemCode,ItemName,No. Fabricante,In Stock,Qty Ordered by,Qty Ordered from,Pedido,Total,Mes_1_venta,Mes_1_inventario,Mes_2_venta,Mes_2_inventario,Mes_3_venta,Mes_3_inventario,Mes_4_venta,Mes_4_inventario,Mes_5_venta,Mes_5_inventario,Mes_6_venta,Mes_6_inventario,Mes_7_venta,Mes_7_inventario,Mes_8_venta,Mes_8_inventario,Mes_9_venta,Mes_9_inventario,Mes_10_venta,Mes_10_inventario,Mes_11_venta,Mes_11_inventario,Mes_12_venta,Mes_12_inventario
ACEI-EIFFEL-NORM-0001,ACEITE DE CAJA 80W90 API G-5 CUBETA EIFFEL,,27.0,2.0,56.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,1.0,27.0,0.0,27.0,0.0,27.0
ACEI-EIFFEL-NORM-0002,ACEITE DE CAJA 80W90 1LT GL-5 EIFFEL,,1020.0,133.0,1300.0,0.0,2187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,13.0,1187.0,167.0,1020.0,0.0,1020.0
ACEI-EIFFEL-NORM-0003,ACEITE DE CAJA  80W90 GL-5 GARRAFA  5 LTS EIFFEL,,134.0,70.0,168.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,10.0,134.0,0.0,134.0,0.0,134.0
ACEI-EIFFEL-NORM-0004,ACEITE DE CAJA 85W140  1 LT GL-5 EIFFEL,,984.0,157.0,1300.0,0.0,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,25.0,1175.0,191.0,984.0,0.0,984.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,,21.0,2.0,56.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,1.0,27.0,6.0,21.0,0.0,21.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,,592.0,67.0,650.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,7.0,593.0,1.0,592.0,0.0,592.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,,1079.0,157.0,1300.0,0.0,2222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,37.0,1163.0,84.0,1079.0,0.0,1079.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,,78.0,49.0,168.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0,19.0,125.0,47.0,78.0,0.0,78.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),,50.0,6.0,100.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,,173.0,432.0,1.0,0.0,-258.0,0.0,586.0,120.0,466.0,0.0,467.0,4.0,463.0,0.0,463.0,2.0,461.0,37.0,424.0,28.0,396.0,0.0,396.0,88.0,305.0,132.0,173.0,0.0,173.0
