ItemCode,ds,yhat,q10,q50,q90
ACEI-EIFFEL-NORM-0001,2025-04,0.012849754,-0.19972217,0.024004908,0.23133135
ACEI-EIFFEL-NORM-0001,2025-05,-0.02186086,-0.27318442,-0.0012675992,0.23605087
ACEI-EIFFEL-NORM-0001,2025-06,-0.02810842,-0.21026747,-0.02326968,0.19248459
ACEI-EIFFEL-NORM-0002,2025-04,4.863476,-8.023913,4.810286,21.102518
ACEI-EIFFEL-NORM-0002,2025-05,4.45695,-9.365939,3.4636755,16.411789
ACEI-EIFFEL-NORM-0002,2025-06,3.9204214,-3.9704926,3.0736861,11.599278
ACEI-EIFFEL-NORM-0003,2025-04,2.0955298,-0.48292288,1.7849897,5.0978894
ACEI-EIFFEL-NORM-0003,2025-05,1.7038044,-1.2240275,1.8233525,6.76147
ACEI-EIFFEL-NORM-0003,2025-06,3.263189,-1.0210508,1.333509,5.214235
ACEI-EIFFEL-NORM-0004,2025-04,-1.5458637,-11.459771,3.8918307,14.048833
ACEI-EIFFEL-NORM-0004,2025-05,4.3753314,-6.2467184,4.1882896,14.45619
ACEI-EIFFEL-NORM-0004,2025-06,3.5394773,-2.3796947,3.4991496,11.045871
ACEI-EIFFEL-NORM-0005,2025-04,0.061085034,-0.17917244,0.08277237,0.30821934
ACEI-EIFFEL-NORM-0005,2025-05,0.036432594,-0.17967184,0.018009609,0.21975994
ACEI-EIFFEL-NORM-0005,2025-06,-0.061029825,-0.18045151,-0.06869083,0.09824455
ACEI-EIFFEL-NORM-0006,2025-04,2.093888,-9.605016,4.383422,20.247906
ACEI-EIFFEL-NORM-0006,2025-05,3.0195124,-5.187744,4.074032,20.493204
ACEI-EIFFEL-NORM-0006,2025-06,2.5739825,-4.1167707,2.6535373,8.812251
ACEI-EIFFEL-NORM-0007,2025-04,6.4316707,-10.237026,5.111786,21.262878
ACEI-EIFFEL-NORM-0007,2025-05,13.7128525,-7.421782,3.4313583,13.429308
ACEI-EIFFEL-NORM-0007,2025-06,3.1760888,-6.0178375,2.1809204,10.061027
ACEI-EIFFEL-NORM-0008,2025-04,1.2738008,-2.9650462,1.2532781,5.6303368
ACEI-EIFFEL-NORM-0008,2025-05,2.2694983,-2.2615175,0.76306236,7.1806087
ACEI-EIFFEL-NORM-0008,2025-06,1.8137572,-1.3680981,0.5590171,4.5002027
ACEI-EIFFEL-NORM-0009,2025-04,0.2585284,-0.76823795,0.1899282,1.3806486
ACEI-EIFFEL-NORM-0009,2025-05,-0.038508944,-1.1798934,0.025252232,1.1895355
ACEI-EIFFEL-NORM-0009,2025-06,-0.035012044,-0.83783334,0.058455445,0.97310793
ACEI-EIFFEL-SINT-0001,2025-04,7.080564,-7.4309926,8.290022,21.616774
ACEI-EIFFEL-SINT-0001,2025-05,9.733358,-6.180057,10.196887,28.373901
ACEI-EIFFEL-SINT-0001,2025-06,6.739815,-1.2888346,5.767134,15.019752
ACEI-EIFFEL-SINT-0002,2025-04,3.8271277,-6.403432,5.0132074,14.691584
ACEI-EIFFEL-SINT-0002,2025-05,2.9299252,-2.2826872,2.365153,7.0355663
ACEI-EIFFEL-SINT-0002,2025-06,5.546248,-10.362332,3.84499,16.624903
ACEI-EIFFEL-SINT-0005,2025-04,27.196928,2.8401623,27.757406,57.82056
ACEI-EIFFEL-SINT-0005,2025-05,26.229185,-30.658728,31.948446,97.48263
ACEI-EIFFEL-SINT-0005,2025-06,7.076893,-35.430046,20.06059,54.47902
ACEI-EIFFEL-SINT-0008,2025-04,17.539091,-8.099832,19.344599,40.446514
ACEI-EIFFEL-SINT-0008,2025-05,29.047304,-43.722435,21.894922,118.47551
ACEI-EIFFEL-SINT-0008,2025-06,7.3718095,-14.723739,5.372581,40.806614
ACEI-EIFFEL-SINT-0009,2025-04,10.338927,-1.1814241,10.4257965,23.16279
ACEI-EIFFEL-SINT-0009,2025-05,0.2865982,-38.25595,12.798728,42.91515
